image_path,surveillance_model_id,make_name,model_name,web_nature_model_id,color_id,color_name,split
../../data/raw/compcars/sv_data\image\1\62a4a5589cc3b1.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\6344c3aeea11db.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\68b186e8050b1f.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\6b83b0deca175f.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\6d31fe50b7a86d.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\6e02cef07f7ee5.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\7150c824930809.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\7209a07402fde8.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\743c3aa7403b31.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\74fe86d0eea1cc.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\75481879bfa090.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\7aff172ce0032d.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\7b8f3c2828b2bd.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\7c42ea6cb2e8ff.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\83a96a94af573d.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\874f996b927cff.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\880286c24bcb68.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\88a43d4cd2ca34.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\946cc7b8012325.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\9a2bd15b8c68ce.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\9db086da4f0731.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\a1cd3dfc850c87.jpg,1,Besturn,Besturn X80,366,9,silver,test
../../data/raw/compcars/sv_data\image\1\a286c2102c2ddb.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\a3820706f83b59.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\a5dc6dd7a952fc.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\a6900d19366152.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\a751752e438d65.jpg,1,Besturn,Besturn X80,366,2,red,test
../../data/raw/compcars/sv_data\image\1\a7d6ad05f7bae1.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\a9885994f634d0.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\aa1f37fe64db34.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\ad9e9624685fb6.jpg,1,Besturn,Besturn X80,366,2,red,test
../../data/raw/compcars/sv_data\image\1\afdd8d723f58d3.jpg,1,Besturn,Besturn X80,366,2,red,test
../../data/raw/compcars/sv_data\image\1\b0f3e480e0f4fc.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\b2c8822ea107bc.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\b381aefefb2107.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\b39d3cebbe2688.jpg,1,Besturn,Besturn X80,366,2,red,test
../../data/raw/compcars/sv_data\image\1\b621700a181569.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\b6d1b5d1c11f2d.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\b930444baf8d83.jpg,1,Besturn,Besturn X80,366,2,red,test
../../data/raw/compcars/sv_data\image\1\bac6732569714e.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\bf37457def5379.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\c2275a9327a431.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\c3884910894d31.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\c4d425cc7b37e5.jpg,1,Besturn,Besturn X80,366,9,silver,test
../../data/raw/compcars/sv_data\image\1\c573aa61ec9ece.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\c5f1d0a1f04fc9.jpg,1,Besturn,Besturn X80,366,9,silver,train
../../data/raw/compcars/sv_data\image\1\c9b2367befbdba.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\ca8090b17f15d1.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\cddc8f600b6f6d.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\d154584f19f0f9.jpg,1,Besturn,Besturn X80,366,9,silver,train
../../data/raw/compcars/sv_data\image\1\d3e8da1ec8eb35.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\d5dcefddcde927.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\d9dbc49e3ed8d8.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\dd2be86b09ee47.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\df7edd6fc9dab9.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\e136e7f3aaf32c.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\e45138ddc59288.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\e7fc0d2fd872ff.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\e83b1871001d23.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\e877a7a15773bd.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\e89133dff52402.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\e9051c09ffe011.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\ef1111816b2f04.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\f39352d495ba11.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\f3df21deb32c97.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\f434ca42d3e03b.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\f4a8938b46c7ba.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\f747ed14094d48.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\f80a555ed199c6.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\fb03b1c5ae53c7.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\10\01cb8aefbdf9bb.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\027beaeab82957.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\05d577c8032015.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\081c93d5be04b0.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\08458ca6e6446b.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\08b5ba9b1539ce.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\0b2b845c19423d.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\0c2e59f87950cf.jpg,10,Buck,Enclave,202,2,red,train
../../data/raw/compcars/sv_data\image\10\0c5ceb46d3f603.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\0c5f9c8db11475.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\0c76433a533c13.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\0e6ab07a67b1cd.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\0e90cc352c7721.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\1063be0f1f350a.jpg,10,Buck,Enclave,202,2,red,test
../../data/raw/compcars/sv_data\image\10\126694fad600f4.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\1912bf2db303d4.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\1a9e900a8b60a5.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\1d6655585b3d2c.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\1ea676cc06015b.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\205cb3eeaa9d36.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\207fc9bf03ab10.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\20bfa3a22aeef4.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\21c0cd8e1a0e8c.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\223c5520395ee7.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\228e0f11e41218.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\23189ff4668200.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\234b7c762afadd.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\24ffdbdc15f5a6.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\25892e2bbdfcbf.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\265f0847296797.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\268f492d04a564.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\2709cde3b1895f.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\287578684ffb0f.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\28cb5407aebbbe.jpg,10,Buck,Enclave,202,2,red,train
../../data/raw/compcars/sv_data\image\10\29ea73c491887b.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\2b0f09b06a9934.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\2bcac07330d6b5.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\2d1d77008b5f85.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\2f18dc716da7d9.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\31d17fb2c52644.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\31faf570f7e352.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\330f751e30eb44.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\3d4ecdad7415d3.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\42cf0a200f48ce.jpg,10,Buck,Enclave,202,1,white,train
../../data/raw/compcars/sv_data\image\10\4850c69322e4dc.jpg,10,Buck,Enclave,202,1,white,test
../../data/raw/compcars/sv_data\image\10\4cf260498e64de.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\534955660308c5.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\554dcd3d9e0d3a.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\57a4be5ff9632b.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\5b678ab6935472.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\5ff848c56173ca.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\603460da97ba64.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\616a63b43c4e37.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\65a3ba7c0f10f9.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\65bc42c6376a51.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\66a4a95ffbf18e.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\6951605bb8a590.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\69bfa550f8dd61.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\6cdcc1df9bd604.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\6df5913e072721.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\6dfab75aa427c9.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\6ead29dc38b49f.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\6f57dc74a898ca.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\7058a400a62173.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\74adec6a22fced.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\74b44da79e9566.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\752e3bae8ba5cb.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\7634f94fbfe5f2.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\764e0cb0dd362a.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\7877eced51675b.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\78b61ae5ecbcf8.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\792867d177f2ab.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\7a47631e50a7c1.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\7afb65cd75172e.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\7be73277b0cedb.jpg,10,Buck,Enclave,202,1,white,train
../../data/raw/compcars/sv_data\image\10\7d10cc33f58d30.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\7d523017e61fda.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\83ed35cb11f7e9.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\856b844a62ccc7.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\88810cdb9e04c5.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\8993f14860a2c9.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\8acb8a939f9c28.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\8d5e8fb47dfe80.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\8f8f9ee47915da.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\90b91754526630.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\91d21d713a085d.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\932344d0f096a9.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\93a6a2fc82e663.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\93bc21c8a805e8.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\943b2768caf6c5.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\99b9e4c88dfc9e.jpg,10,Buck,Enclave,202,1,white,train
../../data/raw/compcars/sv_data\image\10\9b668b31330b5e.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\a0f208eba6cf23.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\a3cd0a8b31ab1b.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\a4a08be253d347.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\a94b3e34802011.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\abe664d92e40db.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\ae286a24ade3c8.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\af9b41ad80ebec.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\b0805af8b0602a.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\b1159980f97972.jpg,10,Buck,Enclave,202,1,white,train
../../data/raw/compcars/sv_data\image\10\b30d26e979a8bc.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\b3bac7a0e0ef9c.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\b6d731a29ff94a.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\ba2f8a4ada12f3.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\bcdfdb63ef12b8.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\bd96584ae99613.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\bdad67e1c5562c.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\bfad4ca4d358e7.jpg,10,Buck,Enclave,202,1,white,train
../../data/raw/compcars/sv_data\image\10\c2489eebf94262.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\c35ea56a6a06a1.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\c49292a43db130.jpg,10,Buck,Enclave,202,1,white,test
../../data/raw/compcars/sv_data\image\10\c8389d3fae31bc.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\c83937bdc3d1b8.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\c91ff002969676.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\cac699cf2f6f02.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\cb89542b7ac80e.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\cc09c5306ca3d4.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\d12dd7d663d3a1.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\d23ba71094d3fe.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\d27315edbe3740.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\d3edf723af660c.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\d4141c3f5253c7.jpg,10,Buck,Enclave,202,2,red,train
../../data/raw/compcars/sv_data\image\10\d42bf75fc27502.jpg,10,Buck,Enclave,202,2,red,test
../../data/raw/compcars/sv_data\image\10\d47880942848d7.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\d6098964c3b067.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\d6be3bd9ea1b58.jpg,10,Buck,Enclave,202,1,white,test
../../data/raw/compcars/sv_data\image\10\d6e8cf08601778.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\d7053ed8c4f468.jpg,10,Buck,Enclave,202,2,red,train
../../data/raw/compcars/sv_data\image\10\d99ff37c67ac65.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\da3822310569f3.jpg,10,Buck,Enclave,202,9,silver,train
../../data/raw/compcars/sv_data\image\10\dbbf1038e3ea5a.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\dc59418ac5e185.jpg,10,Buck,Enclave,202,9,silver,test
../../data/raw/compcars/sv_data\image\10\dcfca4658b9b67.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\dd02c6958f0613.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\dd9c75c67fc82e.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\de25fd44875d48.jpg,10,Buck,Enclave,202,0,black,train
../../data/raw/compcars/sv_data\image\10\e1b8e9192debcf.jpg,10,Buck,Enclave,202,0,black,test
../../data/raw/compcars/sv_data\image\10\e1fb1161541738.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\e36fa450d2a5ce.jpg,10,Buck,Enclave,202,7,brown,train
../../data/raw/compcars/sv_data\image\10\e445d46577a1a1.jpg,10,Buck,Enclave,202,7,brown,test
../../data/raw/compcars/sv_data\image\10\e4e20b1f4a1f2f.jpg,10,Buck,Enclave,202,7,brown,train
