image_path,make_id,model_id,year,bbox,viewpoint,car_type,make_name,model_name,car_type_name,relative_key,split,type
../../data/raw/compcars/image\100\211\2011\d710e24e29d242.jpg,100,211,2011,"(148, 121, 761, 608)",2,1,Honda,Crosstour,fastback,100/211/2011/d710e24e29d242.jpg,train,6
../../data/raw/compcars/image\100\211\2012\0478ce8e218f3c.jpg,100,211,2012,"(166, 139, 750, 588)",1,1,Honda,Crosstour,fastback,100/211/2012/0478ce8e218f3c.jpg,train,6
../../data/raw/compcars/image\100\211\2012\062d743def785a.jpg,100,211,2012,"(89, 214, 803, 575)",5,1,Honda,Crosstour,fastback,100/211/2012/062d743def785a.jpg,train,6
../../data/raw/compcars/image\100\211\2012\0adcea7af64183.jpg,100,211,2012,"(82, 224, 833, 466)",3,1,Honda,Crosstour,fastback,100/211/2012/0adcea7af64183.jpg,train,6
../../data/raw/compcars/image\100\211\2012\154dfa0f2626c7.jpg,100,211,2012,"(167, 119, 732, 570)",2,1,Honda,Crosstour,fastback,100/211/2012/154dfa0f2626c7.jpg,train,6
../../data/raw/compcars/image\100\211\2012\1bc089c2f8e61b.jpg,100,211,2012,"(94, 179, 820, 544)",5,1,Honda,Crosstour,fastback,100/211/2012/1bc089c2f8e61b.jpg,train,6
../../data/raw/compcars/image\100\211\2012\210881f5a5be26.jpg,100,211,2012,"(37, 210, 863, 487)",3,1,Honda,Crosstour,fastback,100/211/2012/210881f5a5be26.jpg,train,6
../../data/raw/compcars/image\100\211\2012\2b837132e9f47b.jpg,100,211,2012,"(170, 137, 743, 569)",1,1,Honda,Crosstour,fastback,100/211/2012/2b837132e9f47b.jpg,test,6
../../data/raw/compcars/image\100\211\2012\44f606689b07cb.jpg,100,211,2012,"(200, 150, 705, 527)",2,1,Honda,Crosstour,fastback,100/211/2012/44f606689b07cb.jpg,train,6
../../data/raw/compcars/image\100\211\2012\4604e4b067024d.jpg,100,211,2012,"(93, 243, 825, 484)",3,1,Honda,Crosstour,fastback,100/211/2012/4604e4b067024d.jpg,train,6
../../data/raw/compcars/image\100\211\2012\4e715f4c659829.jpg,100,211,2012,"(78, 242, 844, 493)",3,1,Honda,Crosstour,fastback,100/211/2012/4e715f4c659829.jpg,test,6
../../data/raw/compcars/image\100\211\2012\5dd50d907851e7.jpg,100,211,2012,"(93, 198, 816, 544)",4,1,Honda,Crosstour,fastback,100/211/2012/5dd50d907851e7.jpg,train,6
../../data/raw/compcars/image\100\211\2012\5f70725002499e.jpg,100,211,2012,"(187, 143, 725, 579)",2,1,Honda,Crosstour,fastback,100/211/2012/5f70725002499e.jpg,test,6
../../data/raw/compcars/image\100\211\2012\656456ce8d8ec4.jpg,100,211,2012,"(116, 166, 767, 538)",4,1,Honda,Crosstour,fastback,100/211/2012/656456ce8d8ec4.jpg,test,6
../../data/raw/compcars/image\100\211\2012\66a41c05d6a519.jpg,100,211,2012,"(98, 167, 792, 521)",4,1,Honda,Crosstour,fastback,100/211/2012/66a41c05d6a519.jpg,test,6
../../data/raw/compcars/image\100\211\2012\718ac24fdeb0b1.jpg,100,211,2012,"(89, 229, 834, 469)",3,1,Honda,Crosstour,fastback,100/211/2012/718ac24fdeb0b1.jpg,test,6
../../data/raw/compcars/image\100\211\2012\8e23c2d7310032.jpg,100,211,2012,"(188, 70, 724, 522)",1,1,Honda,Crosstour,fastback,100/211/2012/8e23c2d7310032.jpg,train,6
../../data/raw/compcars/image\100\211\2012\8f124cedd64d80.jpg,100,211,2012,"(60, 171, 848, 540)",4,1,Honda,Crosstour,fastback,100/211/2012/8f124cedd64d80.jpg,test,6
../../data/raw/compcars/image\100\211\2012\a1f903849a50e7.jpg,100,211,2012,"(27, 200, 871, 476)",3,1,Honda,Crosstour,fastback,100/211/2012/a1f903849a50e7.jpg,train,6
../../data/raw/compcars/image\100\211\2012\a884e937effbdc.jpg,100,211,2012,"(55, 171, 846, 540)",5,1,Honda,Crosstour,fastback,100/211/2012/a884e937effbdc.jpg,train,6
../../data/raw/compcars/image\100\211\2012\b0202281d724a1.jpg,100,211,2012,"(112, 213, 809, 569)",5,1,Honda,Crosstour,fastback,100/211/2012/b0202281d724a1.jpg,test,6
../../data/raw/compcars/image\100\211\2012\b294f935712384.jpg,100,211,2012,"(74, 171, 833, 553)",5,1,Honda,Crosstour,fastback,100/211/2012/b294f935712384.jpg,test,6
../../data/raw/compcars/image\100\211\2012\be24471fd1b1a9.jpg,100,211,2012,"(53, 176, 843, 524)",4,1,Honda,Crosstour,fastback,100/211/2012/be24471fd1b1a9.jpg,train,6
../../data/raw/compcars/image\100\211\2012\cea79cfc5a6ae1.jpg,100,211,2012,"(173, 130, 743, 587)",2,1,Honda,Crosstour,fastback,100/211/2012/cea79cfc5a6ae1.jpg,test,6
../../data/raw/compcars/image\100\211\2012\d9dbddadacdada.jpg,100,211,2012,"(105, 166, 798, 524)",5,1,Honda,Crosstour,fastback,100/211/2012/d9dbddadacdada.jpg,test,6
../../data/raw/compcars/image\100\211\2012\df87f906005fe8.jpg,100,211,2012,"(191, 154, 716, 553)",1,1,Honda,Crosstour,fastback,100/211/2012/df87f906005fe8.jpg,test,6
../../data/raw/compcars/image\100\211\2012\e8f9f7b90902b9.jpg,100,211,2012,"(103, 176, 809, 509)",4,1,Honda,Crosstour,fastback,100/211/2012/e8f9f7b90902b9.jpg,train,6
../../data/raw/compcars/image\100\211\2012\e93c3979bee3f8.jpg,100,211,2012,"(106, 198, 820, 535)",4,1,Honda,Crosstour,fastback,100/211/2012/e93c3979bee3f8.jpg,test,6
../../data/raw/compcars/image\100\211\2013\11133bc3fbd724.jpg,100,211,2013,"(52, 210, 865, 552)",4,1,Honda,Crosstour,fastback,100/211/2013/11133bc3fbd724.jpg,test,6
../../data/raw/compcars/image\100\211\2013\59ca3d629b3fab.jpg,100,211,2013,"(33, 226, 882, 560)",5,1,Honda,Crosstour,fastback,100/211/2013/59ca3d629b3fab.jpg,test,6
../../data/raw/compcars/image\100\211\2013\94b7d4539a17a2.jpg,100,211,2013,"(145, 114, 773, 620)",2,1,Honda,Crosstour,fastback,100/211/2013/94b7d4539a17a2.jpg,train,6
../../data/raw/compcars/image\100\211\2013\b0a867771101d0.jpg,100,211,2013,"(127, 100, 784, 609)",1,1,Honda,Crosstour,fastback,100/211/2013/b0a867771101d0.jpg,test,6
../../data/raw/compcars/image\100\211\2013\f12e1276172293.jpg,100,211,2013,"(46, 283, 872, 553)",3,1,Honda,Crosstour,fastback,100/211/2013/f12e1276172293.jpg,test,6
../../data/raw/compcars/image\100\211\2014\1f92238c80a84a.jpg,100,211,2014,"(182, 141, 719, 579)",2,1,Honda,Crosstour,fastback,100/211/2014/1f92238c80a84a.jpg,test,6
../../data/raw/compcars/image\100\211\2014\37ea9a06273226.jpg,100,211,2014,"(173, 129, 733, 577)",2,1,Honda,Crosstour,fastback,100/211/2014/37ea9a06273226.jpg,train,6
../../data/raw/compcars/image\100\211\2014\3e2bf27d40e27a.jpg,100,211,2014,"(82, 151, 833, 550)",4,1,Honda,Crosstour,fastback,100/211/2014/3e2bf27d40e27a.jpg,train,6
../../data/raw/compcars/image\100\211\2014\495c78d8a05120.jpg,100,211,2014,"(86, 205, 818, 526)",5,1,Honda,Crosstour,fastback,100/211/2014/495c78d8a05120.jpg,train,6
../../data/raw/compcars/image\100\211\2014\4f91b60ea721a4.jpg,100,211,2014,"(57, 153, 857, 581)",4,1,Honda,Crosstour,fastback,100/211/2014/4f91b60ea721a4.jpg,test,6
../../data/raw/compcars/image\100\211\2014\5f99b58a6bb95e.jpg,100,211,2014,"(74, 155, 840, 576)",5,1,Honda,Crosstour,fastback,100/211/2014/5f99b58a6bb95e.jpg,test,6
../../data/raw/compcars/image\100\211\2014\7ed257144fcef6.jpg,100,211,2014,"(90, 214, 809, 530)",4,1,Honda,Crosstour,fastback,100/211/2014/7ed257144fcef6.jpg,train,6
../../data/raw/compcars/image\100\211\2014\8864fef98d4c63.jpg,100,211,2014,"(89, 192, 810, 531)",5,1,Honda,Crosstour,fastback,100/211/2014/8864fef98d4c63.jpg,test,6
../../data/raw/compcars/image\100\211\2014\96e50ee1436ff1.jpg,100,211,2014,"(72, 197, 831, 552)",4,1,Honda,Crosstour,fastback,100/211/2014/96e50ee1436ff1.jpg,test,6
../../data/raw/compcars/image\100\211\2014\a3d26eb244a437.jpg,100,211,2014,"(157, 153, 753, 584)",1,1,Honda,Crosstour,fastback,100/211/2014/a3d26eb244a437.jpg,train,6
../../data/raw/compcars/image\100\211\2014\a920ae289fc479.jpg,100,211,2014,"(188, 166, 727, 570)",1,1,Honda,Crosstour,fastback,100/211/2014/a920ae289fc479.jpg,test,6
../../data/raw/compcars/image\100\211\2014\be6f80d0f33f2b.jpg,100,211,2014,"(79, 159, 840, 588)",5,1,Honda,Crosstour,fastback,100/211/2014/be6f80d0f33f2b.jpg,train,6
../../data/raw/compcars/image\100\211\2014\c2e1d354dba500.jpg,100,211,2014,"(54, 238, 847, 495)",3,1,Honda,Crosstour,fastback,100/211/2014/c2e1d354dba500.jpg,train,6
../../data/raw/compcars/image\100\211\2014\d31dd752f7c30a.jpg,100,211,2014,"(70, 235, 842, 495)",3,1,Honda,Crosstour,fastback,100/211/2014/d31dd752f7c30a.jpg,test,6
../../data/raw/compcars/image\100\211\2014\dbfe3fc676ae02.jpg,100,211,2014,"(108, 169, 802, 561)",4,1,Honda,Crosstour,fastback,100/211/2014/dbfe3fc676ae02.jpg,train,6
../../data/raw/compcars/image\100\211\2014\df77ec0f0a649d.jpg,100,211,2014,"(78, 200, 822, 521)",4,1,Honda,Crosstour,fastback,100/211/2014/df77ec0f0a649d.jpg,test,6
../../data/raw/compcars/image\100\211\2014\e547d0e3e4119b.jpg,100,211,2014,"(48, 241, 841, 501)",3,1,Honda,Crosstour,fastback,100/211/2014/e547d0e3e4119b.jpg,train,6
../../data/raw/compcars/image\100\211\2014\ee63933bb33c40.jpg,100,211,2014,"(168, 124, 751, 559)",1,1,Honda,Crosstour,fastback,100/211/2014/ee63933bb33c40.jpg,test,6
../../data/raw/compcars/image\100\212\2013\0bc5fa59e1b1cc.jpg,100,212,2013,"(36, 354, 870, 626)",3,1,Honda,Crider,sedan,100/212/2013/0bc5fa59e1b1cc.jpg,train,3
../../data/raw/compcars/image\100\212\2013\1401f0efc0bee1.jpg,100,212,2013,"(47, 213, 861, 508)",3,1,Honda,Crider,sedan,100/212/2013/1401f0efc0bee1.jpg,train,3
../../data/raw/compcars/image\100\212\2013\1cc7339a4551b9.jpg,100,212,2013,"(96, 206, 766, 512)",5,1,Honda,Crider,sedan,100/212/2013/1cc7339a4551b9.jpg,test,3
../../data/raw/compcars/image\100\212\2013\214ebb2b3e0a35.jpg,100,212,2013,"(10, 134, 900, 447)",3,1,Honda,Crider,sedan,100/212/2013/214ebb2b3e0a35.jpg,test,3
../../data/raw/compcars/image\100\212\2013\2d219005eb686a.jpg,100,212,2013,"(213, 168, 698, 536)",1,1,Honda,Crider,sedan,100/212/2013/2d219005eb686a.jpg,train,3
../../data/raw/compcars/image\100\212\2013\2e23fd55a3730d.jpg,100,212,2013,"(67, 213, 839, 468)",3,1,Honda,Crider,sedan,100/212/2013/2e23fd55a3730d.jpg,train,3
../../data/raw/compcars/image\100\212\2013\2f44bba592c916.jpg,100,212,2013,"(57, 200, 857, 465)",3,1,Honda,Crider,sedan,100/212/2013/2f44bba592c916.jpg,train,3
../../data/raw/compcars/image\100\212\2013\3436fab37a2808.jpg,100,212,2013,"(93, 176, 827, 537)",4,1,Honda,Crider,sedan,100/212/2013/3436fab37a2808.jpg,train,3
../../data/raw/compcars/image\100\212\2013\420fdefc5f8f53.jpg,100,212,2013,"(132, 125, 794, 543)",1,1,Honda,Crider,sedan,100/212/2013/420fdefc5f8f53.jpg,test,3
../../data/raw/compcars/image\100\212\2013\481aacf98bf480.jpg,100,212,2013,"(74, 176, 850, 519)",4,1,Honda,Crider,sedan,100/212/2013/481aacf98bf480.jpg,train,3
../../data/raw/compcars/image\100\212\2013\5ec022e06a07a0.jpg,100,212,2013,"(106, 156, 784, 572)",4,1,Honda,Crider,sedan,100/212/2013/5ec022e06a07a0.jpg,test,3
../../data/raw/compcars/image\100\212\2013\65002d19383832.jpg,100,212,2013,"(30, 188, 884, 466)",3,1,Honda,Crider,sedan,100/212/2013/65002d19383832.jpg,test,3
../../data/raw/compcars/image\100\212\2013\72ad55495329e7.jpg,100,212,2013,"(98, 168, 802, 527)",5,1,Honda,Crider,sedan,100/212/2013/72ad55495329e7.jpg,train,3
../../data/raw/compcars/image\100\212\2013\7fad634e42ca50.jpg,100,212,2013,"(175, 77, 733, 556)",1,1,Honda,Crider,sedan,100/212/2013/7fad634e42ca50.jpg,train,3
../../data/raw/compcars/image\100\212\2013\957efee8fdee80.jpg,100,212,2013,"(181, 192, 737, 560)",1,1,Honda,Crider,sedan,100/212/2013/957efee8fdee80.jpg,test,3
../../data/raw/compcars/image\100\212\2013\959735e33aa7cb.jpg,100,212,2013,"(234, 165, 680, 536)",2,1,Honda,Crider,sedan,100/212/2013/959735e33aa7cb.jpg,train,3
../../data/raw/compcars/image\100\212\2013\9c674139a64d3e.jpg,100,212,2013,"(43, 150, 867, 568)",4,1,Honda,Crider,sedan,100/212/2013/9c674139a64d3e.jpg,train,3
../../data/raw/compcars/image\100\212\2013\a8fc2b2cc165cc.jpg,100,212,2013,"(24, 172, 870, 583)",4,1,Honda,Crider,sedan,100/212/2013/a8fc2b2cc165cc.jpg,test,3
../../data/raw/compcars/image\100\212\2013\b1e2b5f8585e40.jpg,100,212,2013,"(59, 228, 849, 498)",3,1,Honda,Crider,sedan,100/212/2013/b1e2b5f8585e40.jpg,test,3
../../data/raw/compcars/image\100\212\2013\b3b8c94a8409f1.jpg,100,212,2013,"(95, 188, 800, 568)",5,1,Honda,Crider,sedan,100/212/2013/b3b8c94a8409f1.jpg,test,3
../../data/raw/compcars/image\100\212\2013\cbf27ffa78f419.jpg,100,212,2013,"(89, 183, 811, 512)",4,1,Honda,Crider,sedan,100/212/2013/cbf27ffa78f419.jpg,train,3
../../data/raw/compcars/image\100\212\2013\cc8c73b8e33b1f.jpg,100,212,2013,"(51, 180, 843, 544)",4,1,Honda,Crider,sedan,100/212/2013/cc8c73b8e33b1f.jpg,test,3
../../data/raw/compcars/image\100\212\2013\d5c9ab3a458eb7.jpg,100,212,2013,"(148, 139, 771, 545)",2,1,Honda,Crider,sedan,100/212/2013/d5c9ab3a458eb7.jpg,test,3
../../data/raw/compcars/image\100\212\2013\db2a0d1917bece.jpg,100,212,2013,"(37, 210, 885, 580)",3,1,Honda,Crider,sedan,100/212/2013/db2a0d1917bece.jpg,test,3
../../data/raw/compcars/image\100\212\2013\f28bdd0f412358.jpg,100,212,2013,"(27, 272, 892, 545)",3,1,Honda,Crider,sedan,100/212/2013/f28bdd0f412358.jpg,train,3
../../data/raw/compcars/image\100\212\2013\fae1da6f5c90e0.jpg,100,212,2013,"(96, 176, 854, 530)",5,1,Honda,Crider,sedan,100/212/2013/fae1da6f5c90e0.jpg,train,3
../../data/raw/compcars/image\100\213\2010\08417a0b0a8832.jpg,100,213,2010,"(78, 153, 863, 561)",4,1,Honda,Accord,convertible,100/213/2010/08417a0b0a8832.jpg,train,0
../../data/raw/compcars/image\100\213\2010\26fc7c65baae6a.jpg,100,213,2010,"(137, 188, 836, 570)",4,1,Honda,Accord,convertible,100/213/2010/26fc7c65baae6a.jpg,test,0
../../data/raw/compcars/image\100\213\2010\27bb6c344896a5.jpg,100,213,2010,"(42, 242, 863, 501)",3,1,Honda,Accord,convertible,100/213/2010/27bb6c344896a5.jpg,train,0
../../data/raw/compcars/image\100\213\2010\528a5d54fbe8d2.jpg,100,213,2010,"(75, 128, 834, 552)",5,1,Honda,Accord,convertible,100/213/2010/528a5d54fbe8d2.jpg,test,0
../../data/raw/compcars/image\100\213\2010\5310bae31c5119.jpg,100,213,2010,"(112, 103, 802, 582)",1,1,Honda,Accord,convertible,100/213/2010/5310bae31c5119.jpg,train,0
../../data/raw/compcars/image\100\213\2010\693376b50670b7.jpg,100,213,2010,"(65, 159, 834, 571)",1,1,Honda,Accord,convertible,100/213/2010/693376b50670b7.jpg,test,0
../../data/raw/compcars/image\100\213\2010\698dbdf1deb83b.jpg,100,213,2010,"(120, 84, 785, 549)",2,1,Honda,Accord,convertible,100/213/2010/698dbdf1deb83b.jpg,train,0
../../data/raw/compcars/image\100\213\2010\736dbf0839a511.jpg,100,213,2010,"(77, 165, 826, 562)",5,1,Honda,Accord,convertible,100/213/2010/736dbf0839a511.jpg,test,0
../../data/raw/compcars/image\100\213\2010\7f7e6647839db5.jpg,100,213,2010,"(80, 76, 830, 609)",4,1,Honda,Accord,convertible,100/213/2010/7f7e6647839db5.jpg,train,0
../../data/raw/compcars/image\100\213\2010\a8dae407076090.jpg,100,213,2010,"(103, 177, 839, 558)",4,1,Honda,Accord,convertible,100/213/2010/a8dae407076090.jpg,train,0
../../data/raw/compcars/image\100\213\2010\a9a74b415acab9.jpg,100,213,2010,"(80, 110, 826, 535)",5,1,Honda,Accord,convertible,100/213/2010/a9a74b415acab9.jpg,test,0
../../data/raw/compcars/image\100\213\2010\ac00c1dda5273e.jpg,100,213,2010,"(131, 147, 859, 547)",5,1,Honda,Accord,convertible,100/213/2010/ac00c1dda5273e.jpg,train,0
../../data/raw/compcars/image\100\213\2010\ae00c6e388aed5.jpg,100,213,2010,"(144, 149, 776, 585)",2,1,Honda,Accord,convertible,100/213/2010/ae00c6e388aed5.jpg,train,0
../../data/raw/compcars/image\100\213\2010\b6eb5e71271a87.jpg,100,213,2010,"(166, 160, 756, 570)",1,1,Honda,Accord,convertible,100/213/2010/b6eb5e71271a87.jpg,test,0
../../data/raw/compcars/image\100\213\2010\e696a2aa1a00d2.jpg,100,213,2010,"(54, 214, 864, 503)",3,1,Honda,Accord,convertible,100/213/2010/e696a2aa1a00d2.jpg,test,0
../../data/raw/compcars/image\100\213\2010\e6bf9fc4b29485.jpg,100,213,2010,"(88, 178, 833, 576)",4,1,Honda,Accord,convertible,100/213/2010/e6bf9fc4b29485.jpg,train,0
../../data/raw/compcars/image\100\213\2010\e706ca0b8fa28a.jpg,100,213,2010,"(79, 162, 821, 548)",4,1,Honda,Accord,convertible,100/213/2010/e706ca0b8fa28a.jpg,train,0
../../data/raw/compcars/image\100\213\2011\058355c126c7fc.jpg,100,213,2011,"(60, 149, 830, 539)",5,1,Honda,Accord,convertible,100/213/2011/058355c126c7fc.jpg,train,0
../../data/raw/compcars/image\100\213\2011\1d000256d5892a.jpg,100,213,2011,"(95, 61, 793, 578)",2,1,Honda,Accord,convertible,100/213/2011/1d000256d5892a.jpg,test,0
../../data/raw/compcars/image\100\213\2011\2723f98887d7b1.jpg,100,213,2011,"(45, 110, 850, 521)",4,1,Honda,Accord,convertible,100/213/2011/2723f98887d7b1.jpg,train,0
../../data/raw/compcars/image\100\213\2011\2949081fcd3407.jpg,100,213,2011,"(68, 153, 816, 530)",4,1,Honda,Accord,convertible,100/213/2011/2949081fcd3407.jpg,test,0
../../data/raw/compcars/image\100\213\2011\3b9498f11e7151.jpg,100,213,2011,"(122, 150, 857, 567)",5,1,Honda,Accord,convertible,100/213/2011/3b9498f11e7151.jpg,test,0
../../data/raw/compcars/image\100\213\2011\40ee80a73bc71b.jpg,100,213,2011,"(66, 224, 838, 473)",3,1,Honda,Accord,convertible,100/213/2011/40ee80a73bc71b.jpg,test,0
../../data/raw/compcars/image\100\213\2011\4dcb13a6c06450.jpg,100,213,2011,"(72, 223, 847, 471)",3,1,Honda,Accord,convertible,100/213/2011/4dcb13a6c06450.jpg,train,0
../../data/raw/compcars/image\100\213\2011\5876cb28c72c4a.jpg,100,213,2011,"(80, 179, 816, 538)",4,1,Honda,Accord,convertible,100/213/2011/5876cb28c72c4a.jpg,test,0
../../data/raw/compcars/image\100\213\2011\6c58d7360fb506.jpg,100,213,2011,"(77, 141, 827, 556)",5,1,Honda,Accord,convertible,100/213/2011/6c58d7360fb506.jpg,train,0
../../data/raw/compcars/image\100\213\2011\6dacd39011bfbe.jpg,100,213,2011,"(84, 187, 828, 538)",5,1,Honda,Accord,convertible,100/213/2011/6dacd39011bfbe.jpg,test,0
../../data/raw/compcars/image\100\213\2011\74c6e0d0f664bc.jpg,100,213,2011,"(26, 221, 874, 493)",3,1,Honda,Accord,convertible,100/213/2011/74c6e0d0f664bc.jpg,train,0
../../data/raw/compcars/image\100\213\2011\818241ac157035.jpg,100,213,2011,"(24, 188, 874, 466)",3,1,Honda,Accord,convertible,100/213/2011/818241ac157035.jpg,test,0
../../data/raw/compcars/image\100\213\2011\8a85b75ade1f3d.jpg,100,213,2011,"(84, 79, 790, 576)",1,1,Honda,Accord,convertible,100/213/2011/8a85b75ade1f3d.jpg,test,0
../../data/raw/compcars/image\100\213\2011\94c03ebf41642d.jpg,100,213,2011,"(169, 139, 744, 586)",2,1,Honda,Accord,convertible,100/213/2011/94c03ebf41642d.jpg,train,0
../../data/raw/compcars/image\100\213\2011\a00cd08cabc204.jpg,100,213,2011,"(92, 194, 832, 548)",4,1,Honda,Accord,convertible,100/213/2011/a00cd08cabc204.jpg,test,0
../../data/raw/compcars/image\100\213\2011\a6c28df1b699f7.jpg,100,213,2011,"(32, 160, 826, 516)",4,1,Honda,Accord,convertible,100/213/2011/a6c28df1b699f7.jpg,test,0
../../data/raw/compcars/image\100\213\2011\a89deafa73cf47.jpg,100,213,2011,"(90, 144, 858, 558)",4,1,Honda,Accord,convertible,100/213/2011/a89deafa73cf47.jpg,train,0
../../data/raw/compcars/image\100\213\2011\ae493e3dc02cf0.jpg,100,213,2011,"(161, 144, 751, 564)",2,1,Honda,Accord,convertible,100/213/2011/ae493e3dc02cf0.jpg,train,0
../../data/raw/compcars/image\100\213\2011\c06eb868949c0b.jpg,100,213,2011,"(151, 147, 747, 579)",1,1,Honda,Accord,convertible,100/213/2011/c06eb868949c0b.jpg,train,0
../../data/raw/compcars/image\100\213\2011\c6f79f59f4e138.jpg,100,213,2011,"(37, 127, 855, 485)",5,1,Honda,Accord,convertible,100/213/2011/c6f79f59f4e138.jpg,train,0
../../data/raw/compcars/image\100\213\2011\d0e171d1e2a950.jpg,100,213,2011,"(57, 122, 868, 521)",4,1,Honda,Accord,convertible,100/213/2011/d0e171d1e2a950.jpg,train,0
../../data/raw/compcars/image\100\213\2011\d456e96452e741.jpg,100,213,2011,"(48, 140, 842, 529)",5,1,Honda,Accord,convertible,100/213/2011/d456e96452e741.jpg,train,0
../../data/raw/compcars/image\100\213\2011\d73c794115f1c2.jpg,100,213,2011,"(104, 257, 775, 589)",4,1,Honda,Accord,convertible,100/213/2011/d73c794115f1c2.jpg,test,0
