image_path,make_id,model_id,year,bbox,viewpoint,car_type,make_name,model_name,car_type_name
../../data/raw/compcars/image\1\1103\2011\61a3dc35238e0e.jpg,1,1103,2011,"(144, 119, 645, 479)",2,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\668e666e188885.jpg,1,1103,2011,"(167, 129, 646, 477)",2,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\67fa87b2441e35.jpg,1,1103,2011,"(34, 141, 869, 544)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\74a457463564f3.jpg,1,1103,2011,"(140, 256, 652, 481)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\80c5e601281a07.jpg,1,1103,2011,"(76, 36, 699, 496)",2,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\8b56ed5a76c5ec.jpg,1,1103,2011,"(119, 287, 680, 465)",3,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\8d19ad7c3cc531.jpg,1,1103,2011,"(148, 234, 675, 475)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\a2221f08e0383e.jpg,1,1103,2011,"(144, 235, 685, 478)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\a52cf3643b839f.jpg,1,1103,2011,"(151, 80, 650, 470)",1,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\a5bbdb6b7bf8c7.jpg,1,1103,2011,"(140, 70, 664, 509)",1,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\d2d9f60f419039.jpg,1,1103,2011,"(84, 103, 694, 454)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2013\451aaa83c09e76.jpg,1,1103,2013,"(62, 192, 760, 428)",3,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2013\4dc25a3af47177.jpg,1,1103,2013,"(106, 135, 715, 452)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2013\d2db1ea26ab012.jpg,1,1103,2013,"(130, 58, 683, 519)",1,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2015\066f48aad29a7a.jpg,1,1103,2015,"(9, 197, 784, 482)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2015\32127e81a63285.jpg,1,1103,2015,"(10, 164, 789, 509)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2015\553dd8b5b5c76a.jpg,1,1103,2015,"(154, 209, 761, 528)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2015\aa824e6c84e019.jpg,1,1103,2015,"(46, 120, 774, 484)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1104\2010\37b1b3a2bc39db.jpg,1,1104,2010,"(17, 154, 894, 543)",4,1,ABT,ABT A8,MPV
../../data/raw/compcars/image\1\1104\2010\49b0c037f7cbe1.jpg,1,1104,2010,"(12, 149, 896, 523)",5,1,ABT,ABT A8,MPV
../../data/raw/compcars/image\1\1105\2011\1665cd6b2013b5.jpg,1,1105,2011,"(45, 266, 864, 561)",4,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1105\2011\33587cdee4a967.jpg,1,1105,2011,"(81, 197, 831, 591)",5,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1105\2011\40e0a243c66559.jpg,1,1105,2011,"(84, 181, 832, 571)",4,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1105\2011\5d5a7519b69352.jpg,1,1105,2011,"(50, 275, 861, 564)",5,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1105\2011\8dfa76acfc5319.jpg,1,1105,2011,"(43, 248, 862, 504)",3,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1105\2011\cdff7b07e9a467.jpg,1,1105,2011,"(36, 184, 888, 569)",4,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1105\2011\f3ef190cd3b733.jpg,1,1105,2011,"(31, 152, 878, 567)",5,1,ABT,ABT A6,MPV
../../data/raw/compcars/image\1\1106\2009\89e43e81fc82df.jpg,1,1106,2009,"(71, 161, 834, 518)",4,1,ABT,ABT Q7,MPV
../../data/raw/compcars/image\1\1106\2009\904478653c497a.jpg,1,1106,2009,"(45, 217, 867, 498)",3,1,ABT,ABT Q7,MPV
../../data/raw/compcars/image\1\1106\2009\bf8a93922ab42a.jpg,1,1106,2009,"(65, 137, 866, 514)",4,1,ABT,ABT Q7,MPV
../../data/raw/compcars/image\1\1106\2009\c678e70a71b7f1.jpg,1,1106,2009,"(67, 145, 847, 534)",5,1,ABT,ABT Q7,MPV
../../data/raw/compcars/image\1\1107\2010\132ebb1273d7d8.jpg,1,1107,2010,"(27, 140, 883, 516)",4,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2010\2ae457012751c7.jpg,1,1107,2010,"(19, 169, 883, 596)",4,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2010\67fbe79aa59b42.jpg,1,1107,2010,"(28, 121, 882, 520)",5,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\0c8b0936dca50f.jpg,1,1107,2011,"(96, 124, 681, 452)",5,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\3cf2a52d8bf782.jpg,1,1107,2011,"(108, 135, 701, 455)",5,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\479ec03083aca8.jpg,1,1107,2011,"(60, 157, 694, 459)",4,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\81b72c79de4955.jpg,1,1107,2011,"(163, 138, 619, 463)",2,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\84303536b864ce.jpg,1,1107,2011,"(164, 154, 643, 471)",2,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\997671defb0922.jpg,1,1107,2011,"(93, 109, 709, 494)",4,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\a2c58fb8d83ac4.jpg,1,1107,2011,"(57, 167, 728, 410)",3,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\b3ef010f41cdf8.jpg,1,1107,2011,"(94, 145, 684, 448)",5,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\e14ee7975850e1.jpg,1,1107,2011,"(71, 98, 741, 505)",4,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\f289f8c3d427c3.jpg,1,1107,2011,"(77, 154, 701, 459)",5,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\f31b343ec3b50c.jpg,1,1107,2011,"(69, 153, 698, 466)",4,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1107\2011\fa926e82f67484.jpg,1,1107,2011,"(130, 105, 661, 457)",1,1,ABT,ABT TT,MPV
../../data/raw/compcars/image\1\1108\2010\23367800704bfb.jpg,1,1108,2010,"(25, 244, 879, 487)",3,1,ABT,ABT A7,MPV
../../data/raw/compcars/image\1\1108\2010\c88e62cf220fbe.jpg,1,1108,2010,"(18, 130, 893, 534)",5,1,ABT,ABT A7,MPV
../../data/raw/compcars/image\1\1108\2010\d6d88146f64747.jpg,1,1108,2010,"(51, 259, 855, 587)",4,1,ABT,ABT A7,MPV
../../data/raw/compcars/image\1\1108\2010\e3fd8a498f7a30.jpg,1,1108,2010,"(22, 159, 890, 518)",4,1,ABT,ABT A7,MPV
../../data/raw/compcars/image\1\1109\2011\0e33c11fbe2cf9.jpg,1,1109,2011,"(54, 144, 856, 609)",4,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\291c96170e6653.jpg,1,1109,2011,"(51, 125, 846, 596)",5,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\2d3c284be7e25a.jpg,1,1109,2011,"(67, 156, 842, 610)",4,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\415f18523c35ff.jpg,1,1109,2011,"(63, 193, 856, 493)",3,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\57da0f687eec26.jpg,1,1109,2011,"(55, 118, 858, 585)",4,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\bc43e523c20b76.jpg,1,1109,2011,"(26, 233, 889, 558)",3,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\f8eb2e897646df.jpg,1,1109,2011,"(57, 125, 862, 596)",5,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1109\2011\fef8a5b1fd7169.jpg,1,1109,2011,"(63, 79, 867, 586)",5,1,ABT,ABT Q3,MPV
../../data/raw/compcars/image\1\1110\2011\0a98dbebbf6a74.jpg,1,1110,2011,"(75, 120, 741, 482)",4,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2011\38293ea66fcd61.jpg,1,1110,2011,"(26, 201, 742, 496)",3,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2011\51acc6cf38c6f2.jpg,1,1110,2011,"(56, 158, 697, 535)",5,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2011\81cd6b67b42822.jpg,1,1110,2011,"(78, 121, 717, 500)",4,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2011\85fbb99410b5b7.jpg,1,1110,2011,"(113, 59, 696, 540)",2,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2011\e5eb4669b7d064.jpg,1,1110,2011,"(105, 120, 714, 502)",1,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\273221bcdde892.jpg,1,1110,2012,"(49, 102, 883, 555)",5,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\4bf9a6485bd0e8.jpg,1,1110,2012,"(56, 160, 854, 453)",3,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\9ceef5d159b81c.jpg,1,1110,2012,"(92, 134, 799, 560)",5,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\9d7df256384326.jpg,1,1110,2012,"(91, 139, 804, 481)",4,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\bf4e7044fb408f.jpg,1,1110,2012,"(74, 81, 828, 447)",4,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\c03223d5aa37f7.jpg,1,1110,2012,"(49, 15, 851, 470)",5,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\e130c0a674dc0c.jpg,1,1110,2012,"(154, 51, 724, 524)",2,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\e6e7f31a98a43e.jpg,1,1110,2012,"(35, 147, 874, 458)",3,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1110\2012\ff1db6eb99b9f5.jpg,1,1110,2012,"(92, 166, 810, 560)",4,1,ABT,ABT Q5,MPV
../../data/raw/compcars/image\1\1112\2013\032f78c3ae5c87.jpg,1,1112,2013,"(160, 233, 737, 551)",4,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\16179e5d599552.jpg,1,1112,2013,"(106, 143, 666, 418)",5,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\1ae9f749a938af.jpg,1,1112,2013,"(53, 56, 818, 613)",1,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\2f33f81b8d9f85.jpg,1,1112,2013,"(149, 140, 646, 403)",5,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\4e5f8ddc7edd1f.jpg,1,1112,2013,"(136, 148, 656, 430)",4,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\5551a55b9fc425.jpg,1,1112,2013,"(83, 210, 813, 567)",5,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\5ce16779bf61ba.jpg,1,1112,2013,"(183, 221, 807, 557)",4,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\6c95838af26906.jpg,1,1112,2013,"(125, 207, 766, 540)",5,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\6ca7eece3f17e2.jpg,1,1112,2013,"(220, 281, 629, 513)",4,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\78a042032da977.jpg,1,1112,2013,"(149, 136, 494, 338)",4,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\e50f5ef1335521.jpg,1,1112,2013,"(145, 166, 661, 446)",4,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1112\2013\eff4ffbbf122d6.jpg,1,1112,2013,"(92, 20, 647, 423)",1,1,ABT,ABT RS 4,MPV
../../data/raw/compcars/image\1\1113\2012\1734863b5d9d68.jpg,1,1113,2012,"(65, 253, 854, 556)",3,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\2ae37e0a36fc9b.jpg,1,1113,2012,"(18, 59, 883, 539)",4,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\423d31006e3fa3.jpg,1,1113,2012,"(103, 177, 796, 550)",5,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\5699cdbb3cc1f5.jpg,1,1113,2012,"(37, 194, 875, 626)",5,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\5c496936e24eda.jpg,1,1113,2012,"(54, 158, 834, 603)",5,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\904c53eeb1238c.jpg,1,1113,2012,"(71, 181, 818, 605)",5,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\ca5f4bc935c450.jpg,1,1113,2012,"(23, 174, 892, 510)",3,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\1\1113\2012\f034a0e23f2a1e.jpg,1,1113,2012,"(74, 158, 821, 577)",4,1,ABT,ABT A1,MPV
../../data/raw/compcars/image\10\1309\2013\033fc6e7ff5a2b.jpg,10,1309,2013,"(177, 179, 726, 522)",2,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\0383df25e1dd0c.jpg,10,1309,2013,"(117, 271, 778, 520)",4,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\18775c62f78c50.jpg,10,1309,2013,"(37, 51, 773, 556)",2,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\2b9af75883f8f2.jpg,10,1309,2013,"(151, 172, 624, 534)",1,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\457a0a59ee0aa8.jpg,10,1309,2013,"(55, 262, 872, 540)",4,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\5c9ac85009919a.jpg,10,1309,2013,"(84, 179, 704, 418)",4,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\6368db885d0e48.jpg,10,1309,2013,"(40, 98, 841, 598)",5,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\6648df4f850cc8.jpg,10,1309,2013,"(22, 192, 721, 423)",3,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\67069b4b82cabc.jpg,10,1309,2013,"(44, 186, 716, 420)",3,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\92ed010d933e37.jpg,10,1309,2013,"(81, 149, 683, 438)",4,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\a1bf1f0faaca43.jpg,10,1309,2013,"(35, 211, 765, 465)",4,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\bb2eed181ad2c1.jpg,10,1309,2013,"(35, 260, 760, 483)",3,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\cd029ee02f9192.jpg,10,1309,2013,"(56, 80, 736, 503)",-1,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\de5730046a3504.jpg,10,1309,2013,"(33, 74, 871, 626)",2,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\de99ae0f34f507.jpg,10,1309,2013,"(135, 139, 652, 459)",2,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\10\1309\2013\e7ac0aaeabe76c.jpg,10,1309,2013,"(30, 316, 855, 564)",3,1,Icona,Vulcano,MPV
../../data/raw/compcars/image\100\209\2009\0ff9e9b49c52cd.jpg,100,209,2009,"(95, 85, 817, 626)",1,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\103597e5e5f4c7.jpg,100,209,2009,"(223, 163, 704, 548)",2,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\1cb896f2a1632f.jpg,100,209,2009,"(95, 100, 849, 606)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\35bc7056ec3f25.jpg,100,209,2009,"(54, 137, 837, 613)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\398aad9e2ab271.jpg,100,209,2009,"(96, 203, 794, 531)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\3b53a55b044ac7.jpg,100,209,2009,"(119, 213, 739, 520)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\3ddf47bd40a550.jpg,100,209,2009,"(98, 227, 809, 578)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\4ca168528b4de1.jpg,100,209,2009,"(82, 70, 818, 592)",1,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\52fea7741bb659.jpg,100,209,2009,"(97, 169, 856, 590)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\66629c8f8545cf.jpg,100,209,2009,"(70, 212, 756, 473)",3,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\6c299ae6f305e1.jpg,100,209,2009,"(87, 265, 816, 513)",3,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\6f021db7eeafbe.jpg,100,209,2009,"(157, 119, 731, 612)",2,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\7dee1114e841d6.jpg,100,209,2009,"(78, 147, 796, 551)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\7f81c0cea32ce2.jpg,100,209,2009,"(91, 86, 833, 616)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\9472569c3d7e73.jpg,100,209,2009,"(119, 118, 752, 591)",1,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\95961000e0c99e.jpg,100,209,2009,"(91, 193, 805, 578)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\9a854cf20f8956.jpg,100,209,2009,"(79, 201, 793, 572)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\9dfaecad178118.jpg,100,209,2009,"(110, 150, 796, 514)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\9f0fb5ac083aa2.jpg,100,209,2009,"(123, 75, 799, 582)",2,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\a6dd6ac174d71b.jpg,100,209,2009,"(97, 249, 800, 495)",3,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\b5c9d9f56643be.jpg,100,209,2009,"(75, 149, 823, 607)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\b7764c95750104.jpg,100,209,2009,"(91, 156, 823, 566)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\d352c682a079d5.jpg,100,209,2009,"(116, 98, 778, 611)",2,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\d56fe6f4e1a466.jpg,100,209,2009,"(96, 133, 837, 549)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\e7844eda6f28d4.jpg,100,209,2009,"(104, 70, 840, 617)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\ec1144aa7d45ad.jpg,100,209,2009,"(95, 87, 838, 568)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\f5a199fcbc1e45.jpg,100,209,2009,"(95, 122, 848, 547)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\f85cd49920dddb.jpg,100,209,2009,"(106, 70, 797, 606)",2,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2009\fa0cfe40970e9c.jpg,100,209,2009,"(182, 118, 686, 524)",1,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2011\04a4fad005dfc2.jpg,100,209,2011,"(80, 201, 837, 554)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2011\14cadd80154fb4.jpg,100,209,2011,"(127, 119, 781, 609)",1,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2011\4028f79fd9406e.jpg,100,209,2011,"(53, 241, 843, 500)",3,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2011\45ba751b33722f.jpg,100,209,2011,"(51, 113, 863, 555)",4,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2011\4efbfce6735586.jpg,100,209,2011,"(78, 177, 834, 584)",5,1,Honda,Odyssey,MPV
../../data/raw/compcars/image\100\209\2011\4f9562d48e6b94.jpg,100,209,2011,"(80, 269, 843, 521)",3,1,Honda,Odyssey,MPV
